Country/Region,Continent,Population,Total Cases,Total Deaths,Total Recovered,Active Cases,Serious/Critical,Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,WHO Region
Bosnia and Herzegovina,Europe,3278650.0,13396.0,384.0,7042.0,5970.0,0.0,4086.0,117.0,147021.0,44842.0,Europe
Bulgaria,Europe,6942854.0,13014.0,435.0,7374.0,5205.0,47.0,1874.0,63.0,294087.0,42358.0,Europe
Madagascar,Africa,27755708.0,12526.0,134.0,10148.0,2244.0,88.0,451.0,5.0,46301.0,1668.0,Africa
Sudan,Africa,43943536.0,11780.0,763.0,6194.0,4823.0,0.0,268.0,17.0,401.0,9.0,EasternMediterranean
North Macedonia,Europe,2083365.0,11399.0,517.0,7480.0,3402.0,3.0,5471.0,199.0,109946.0,52773.0,Europe
Senegal,Africa,16783877.0,10715.0,223.0,7101.0,3391.0,33.0,638.0,13.0,114761.0,6838.0,Africa
Norway,Europe,5425471.0,9468.0,256.0,8857.0,355.0,3.0,1745.0,47.0,472841.0,87152.0,Europe
DRC,Africa,62940867.75,9309.0,215.0,8048.0,1046.0,0.0,104.0,2.0,9309.0,103.0,Africa
Malaysia,Asia,32406372.0,9038.0,125.0,8713.0,200.0,2.0,279.0,4.0,991333.0,30591.0,WesternPacific
French Guiana,South America,299385.0,8127.0,47.0,7240.0,840.0,23.0,9181.375,157.0,41412.0,138324.0,Americas
Gabon,Africa,2230563.0,7787.0,51.0,5609.0,2127.0,11.0,3491.0,23.0,85369.0,38272.0,Africa
Tajikistan,Asia,9557468.0,7665.0,62.0,6443.0,1160.0,0.0,802.0,6.0,7665.0,801.0,Europe
Guinea,Africa,13164905.0,7664.0,49.0,6757.0,858.0,24.0,582.0,4.0,14407.0,1094.0,Africa
Haiti,North America,11416103.0,7544.0,171.0,4832.0,2541.0,0.0,661.0,15.0,18443.0,1616.0,Americas
Finland,Europe,5541604.0,7532.0,331.0,6980.0,221.0,0.0,1359.0,60.0,389500.0,70287.0,Europe
Zambia,Africa,18430129.0,7164.0,199.0,5786.0,1179.0,0.0,389.0,11.0,90307.0,4900.0,Africa
Luxembourg,Europe,626952.0,7073.0,119.0,5750.0,1204.0,9.0,9181.375,190.0,623994.0,183610.25,Europe
Mauritania,Africa,4660728.0,6444.0,157.0,5291.0,996.0,3.0,1383.0,34.0,57387.0,12313.0,Africa
Paraguay,South America,7141091.0,6375.0,66.0,4974.0,1335.0,23.0,893.0,9.0,135277.0,18943.0,Americas
Albania,Europe,2877470.0,6016.0,188.0,3155.0,2673.0,23.0,2091.0,65.0,38997.0,13553.0,Europe
Lebanon,Asia,6822220.0,5672.0,70.0,1974.0,3628.0,46.0,831.0,10.0,345268.0,50609.0,EasternMediterranean
Croatia,Europe,4102577.0,5404.0,155.0,4688.0,561.0,7.0,1317.0,38.0,125317.0,30546.0,Europe
Djibouti,Africa,989387.0,5330.0,59.0,5057.0,214.0,0.0,5387.0,60.0,59909.0,60552.0,EasternMediterranean
Greece,Europe,10417673.0,5123.0,210.0,1374.0,3539.0,14.0,492.0,20.0,619393.0,59456.0,Europe
Libya,Africa,6880353.0,4879.0,107.0,652.0,4120.0,0.0,709.0,16.0,59699.0,8677.0,EasternMediterranean
Equatorial Guinea,Africa,1407001.0,4821.0,83.0,2182.0,2556.0,0.0,3426.0,59.0,44356.0,31525.0,Africa
Maldives,Asia,541448.0,4680.0,19.0,2725.0,1936.0,12.0,8643.0,35.0,85587.0,158071.0,South-EastAsia
CAR,Africa,4837752.0,4620.0,59.0,1641.0,2920.0,2.0,955.0,12.0,29589.0,6116.0,Africa
Hungary,Europe,9657785.0,4597.0,600.0,3463.0,534.0,8.0,476.0,62.0,352546.0,36504.0,Europe
Malawi,Africa,19174839.0,4491.0,137.0,2137.0,2217.0,4.0,234.0,7.0,33466.0,1745.0,Africa
Zimbabwe,Africa,14883803.0,4339.0,84.0,1264.0,2991.0,0.0,292.0,6.0,140421.0,9434.0,Africa
Nicaragua,North America,6632263.0,3902.0,123.0,2913.0,866.0,0.0,588.0,19.0,3902.0,588.0,Americas
Hong Kong,Asia,7503041.0,3850.0,46.0,2458.0,1346.0,39.0,513.0,6.0,692430.0,92287.0,WesternPacific
Congo,Africa,5530506.0,3546.0,58.0,1589.0,1899.0,0.0,641.0,10.0,3546.0,641.0,Africa
Montenegro,Europe,628074.0,3480.0,60.0,2178.0,1242.0,0.0,5541.0,96.0,38427.0,61182.0,Europe
Thailand,Asia,62940867.75,3330.0,58.0,3148.0,124.0,1.0,48.0,0.0,749213.0,10731.0,South-EastAsia
Somalia,Africa,15933012.0,3227.0,93.0,1728.0,1406.0,2.0,203.0,6.0,3227.0,202.0,EasternMediterranean
Mayotte,Africa,273419.0,3042.0,39.0,2738.0,265.0,2.0,9181.375,143.0,13000.0,47546.0,Africa
Eswatini,Africa,1161348.0,2968.0,55.0,1476.0,1437.0,5.0,2556.0,47.0,20784.0,17896.0,Africa
Sri Lanka,Asia,21422362.0,2839.0,11.0,2541.0,287.0,1.0,133.0,0.0,166737.0,7783.0,South-EastAsia
Cuba,North America,11325899.0,2775.0,88.0,2409.0,278.0,4.0,245.0,8.0,285471.0,25205.0,Americas
Cabo Verde,Africa,556581.0,2734.0,27.0,2010.0,697.0,0.0,4912.0,49.0,61633.0,110735.0,Africa
Namibia,Africa,2545264.0,2652.0,15.0,563.0,2074.0,24.0,1042.0,6.0,29233.0,11485.0,Africa
Mali,Africa,20302901.0,2552.0,124.0,1954.0,474.0,0.0,126.0,6.0,25152.0,1239.0,Africa
Slovakia,Europe,5459915.0,2480.0,29.0,1824.0,627.0,2.0,454.0,5.0,272322.0,49877.0,Europe
South Sudan,Africa,11206572.0,2450.0,47.0,1175.0,1228.0,0.0,219.0,4.0,12044.0,1075.0,Africa
Slovenia,Europe,2078968.0,2223.0,125.0,1909.0,189.0,2.0,1069.0,60.0,135702.0,65274.0,Europe
Lithuania,Europe,2718121.0,2171.0,81.0,1656.0,434.0,6.0,799.0,30.0,540784.0,183610.25,Europe
Estonia,Europe,1326627.0,2124.0,63.0,1954.0,107.0,0.0,1601.0,47.0,122880.0,92626.0,Europe
Mozambique,Africa,31333962.0,2120.0,15.0,795.0,1310.0,0.0,68.0,0.0,65151.0,2079.0,Africa
Rwanda,Africa,12981546.0,2111.0,5.0,1258.0,848.0,0.0,163.0,0.0,286251.0,22051.0,Africa
Suriname,South America,587154.0,2096.0,29.0,1446.0,621.0,9.0,3570.0,49.0,2785.0,4743.0,Americas
Guinea-Bissau,Africa,1972277.0,2032.0,27.0,944.0,1061.0,5.0,1030.0,14.0,1500.0,761.0,Africa
Benin,Africa,12151976.0,1936.0,38.0,1600.0,298.0,1.0,159.0,3.0,93677.0,7709.0,Africa
Iceland,Europe,341465.0,1930.0,10.0,1825.0,95.0,0.0,5652.0,29.0,149693.0,183610.25,Europe
Sierra Leone,Africa,7992169.0,1877.0,67.0,1427.0,383.0,0.0,235.0,8.0,1877.0,234.0,Africa
Yemen,Asia,29886897.0,1768.0,508.0,898.0,362.0,0.0,59.0,17.0,120.0,4.0,EasternMediterranean
Tunisia,Africa,11830801.0,1642.0,51.0,1241.0,350.0,9.0,139.0,4.0,100298.0,8478.0,EasternMediterranean
New Zealand,Australia/Oceania,5002100.0,1569.0,22.0,1524.0,23.0,0.0,314.0,4.0,486943.0,97348.0,WesternPacific
Angola,Africa,32956300.0,1483.0,64.0,520.0,899.0,20.0,45.0,2.0,64747.0,1965.0,Africa
Uruguay,South America,3474956.0,1318.0,37.0,1079.0,202.0,2.0,379.0,11.0,126956.0,36535.0,Americas
Latvia,Europe,1883936.0,1275.0,32.0,1070.0,173.0,0.0,677.0,17.0,207909.0,110359.0,Europe
Jordan,Asia,10213138.0,1232.0,11.0,1171.0,50.0,3.0,121.0,1.0,628745.0,61562.0,EasternMediterranean
Liberia,Africa,5068618.0,1224.0,78.0,705.0,441.0,0.0,241.0,15.0,1224.0,241.0,Africa
Uganda,Africa,45867852.0,1223.0,5.0,1102.0,116.0,0.0,27.0,0.0,288367.0,6287.0,Africa
Cyprus,Asia,1208238.0,1208.0,19.0,856.0,333.0,0.0,1000.0,16.0,216597.0,179267.0,Europe
Georgia,Asia,3988368.0,1206.0,17.0,987.0,202.0,0.0,302.0,4.0,240473.0,60294.0,Europe
Burkina Faso,Africa,20954852.0,1158.0,54.0,961.0,143.0,0.0,55.0,3.0,1158.0,55.0,Africa
Niger,Africa,24281433.0,1153.0,69.0,1057.0,27.0,0.0,47.0,3.0,9052.0,373.0,Africa
Togo,Africa,8296582.0,1012.0,22.0,697.0,293.0,2.0,122.0,3.0,45767.0,5516.0,Africa
Syria,Asia,17539600.0,999.0,48.0,311.0,640.0,0.0,57.0,3.0,999.0,56.0,EasternMediterranean
Jamaica,North America,2962478.0,958.0,12.0,745.0,201.0,0.0,323.0,4.0,41840.0,14123.0,Americas
Malta,Europe,441663.0,946.0,9.0,670.0,267.0,0.0,2142.0,20.0,136713.0,183610.25,Europe
Andorra,Europe,77278.0,944.0,52.0,828.0,64.0,1.0,9181.375,199.0,3750.0,48526.0,Europe
Chad,Africa,16467965.0,942.0,76.0,838.0,28.0,0.0,57.0,5.0,942.0,57.0,Africa
Gambia,Africa,2422754.0,935.0,16.0,136.0,783.0,0.0,386.0,7.0,5183.0,2139.0,Africa
Sao Tome and Principe,Africa,219544.0,878.0,15.0,797.0,66.0,0.0,3999.0,68.0,3079.0,14025.0,Africa
Botswana,Africa,2356075.0,804.0,2.0,63.0,739.0,1.0,341.0,0.0,68423.0,29041.0,Africa
Bahamas,North America,393616.0,761.0,14.0,91.0,656.0,1.0,1933.0,36.0,4814.0,12230.0,Americas
Vietnam,Asia,62940867.75,747.0,10.0,392.0,345.0,0.0,8.0,0.0,482456.0,4952.0,WesternPacific
Lesotho,Africa,2143943.0,742.0,23.0,175.0,544.0,0.0,346.0,11.0,8771.0,4091.0,Africa
San Marino,Europe,33938.0,699.0,42.0,657.0,0.0,0.0,9181.375,199.0,6068.0,178797.0,Europe
Réunion,Africa,895952.0,671.0,5.0,592.0,74.0,3.0,749.0,6.0,35419.0,39532.0,Africa
Channel Islands,Europe,174022.0,597.0,47.0,533.0,17.0,0.0,3431.0,199.0,30721.0,176535.0,Europe
Guyana,South America,786936.0,538.0,22.0,189.0,327.0,2.0,684.0,28.0,5165.0,6563.0,Americas
Tanzania,Africa,59886383.0,509.0,21.0,183.0,305.0,7.0,8.0,0.0,509.0,8.0,Africa
Taiwan,Asia,23821199.0,477.0,7.0,443.0,27.0,0.0,20.0,0.0,82737.0,3473.0,WesternPacific
Comoros,Africa,871326.0,396.0,7.0,340.0,49.0,0.0,454.0,8.0,396.0,454.0,Africa
Burundi,Africa,11922216.0,395.0,1.0,304.0,90.0,0.0,33.0,0.0,15614.0,1310.0,Africa
Myanmar,Asia,54446389.0,357.0,6.0,308.0,43.0,0.0,7.0,0.0,122290.0,2246.0,South-EastAsia
Mauritius,Africa,1271985.0,344.0,10.0,334.0,0.0,0.0,270.0,8.0,205285.0,161389.0,Africa
Isle of Man,Europe,85078.0,336.0,24.0,312.0,0.0,0.0,3949.0,199.0,8627.0,101401.0,Europe
Mongolia,Asia,3283344.0,293.0,0.0,260.0,33.0,1.0,89.0,0.0,38334.0,11675.0,WesternPacific
Eritrea,Africa,3551175.0,282.0,0.0,225.0,57.0,0.0,79.0,0.0,282.0,79.0,Africa
Guadeloupe,North America,400131.0,279.0,14.0,179.0,86.0,0.0,697.0,35.0,18476.0,46175.0,Americas
Martinique,North America,375235.0,276.0,15.0,98.0,163.0,1.0,736.0,40.0,12227.0,32585.0,Americas
Faeroe Islands,Europe,48882.0,266.0,0.0,192.0,74.0,1.0,5442.0,0.0,43045.0,183610.25,Europe
Aruba,North America,106812.0,263.0,3.0,114.0,146.0,0.0,2462.0,28.0,14047.0,131511.0,Americas
Cambodia,Asia,16741375.0,243.0,0.0,210.0,33.0,1.0,15.0,0.0,67807.0,4050.0,WesternPacific
Trinidad and Tobago,North America,1399950.0,210.0,8.0,135.0,67.0,0.0,150.0,6.0,9559.0,6828.0,Americas
Cayman Islands,North America,65798.0,203.0,1.0,202.0,0.0,0.0,3085.0,15.0,31108.0,183610.25,Americas
Gibraltar,Europe,33690.0,190.0,0.0,184.0,6.0,0.0,5640.0,0.0,23063.0,183610.25,Europe
Papua New Guinea,Australia/Oceania,8963009.0,163.0,3.0,53.0,107.0,0.0,18.0,0.0,10808.0,1206.0,WesternPacific
Sint Maarten,North America,42924.0,160.0,16.0,64.0,80.0,3.0,3728.0,199.0,1115.0,25976.0,Americas
Bermuda,North America,62254.0,157.0,9.0,144.0,4.0,0.0,2522.0,145.0,26352.0,183610.25,Americas
Brunei ,Asia,437893.0,141.0,3.0,138.0,0.0,0.0,322.0,7.0,41148.0,93968.0,South-EastAsia
Barbados,North America,287411.0,133.0,7.0,100.0,26.0,0.0,463.0,24.0,12233.0,42563.0,Americas
Turks and Caicos,North America,38768.0,129.0,2.0,39.0,88.0,3.0,3327.0,52.0,1252.0,32295.0,Americas
Seychelles,Africa,98408.0,126.0,0.0,124.0,2.0,0.0,1280.0,0.0,126.0,1280.0,Africa
Monaco,Europe,39270.0,125.0,4.0,105.0,16.0,2.0,3183.0,102.0,38209.0,183610.25,Europe
Bhutan,Asia,772443.0,105.0,0.0,93.0,12.0,0.0,136.0,0.0,54589.0,70671.0,South-EastAsia
Antigua and Barbuda,North America,98010.0,92.0,3.0,76.0,13.0,1.0,939.0,31.0,1500.0,15305.0,Americas
Liechtenstein,Europe,38139.0,89.0,1.0,85.0,3.0,0.0,2334.0,26.0,900.0,23598.0,Europe
Belize,North America,398312.0,86.0,2.0,31.0,53.0,2.0,216.0,5.0,3679.0,9236.0,Americas
French Polynesia,Australia/Oceania,281072.0,64.0,0.0,62.0,2.0,0.0,228.0,0.0,5849.0,20810.0,WesternPacific
St. Vincent Grenadines,North America,110976.0,56.0,0.0,46.0,10.0,0.0,505.0,0.0,2447.0,22050.0,Americas
Saint Martin,North America,38729.0,53.0,3.0,41.0,9.0,1.0,1368.0,77.0,1183.0,30546.0,Americas
Macao,Asia,650193.0,46.0,0.0,46.0,0.0,0.0,71.0,0.0,4071.0,6261.0,South-EastAsia
Curaçao,North America,164161.0,31.0,1.0,28.0,2.0,0.0,189.0,6.0,1080.0,6579.0,Americas
Fiji,Australia/Oceania,897095.0,27.0,1.0,18.0,8.0,0.0,30.0,1.0,6693.0,7461.0,WesternPacific
Saint Lucia,North America,183712.0,25.0,0.0,24.0,1.0,0.0,136.0,0.0,3895.0,21202.0,Americas
Timor-Leste,Asia,1320812.0,25.0,0.0,24.0,1.0,0.0,19.0,0.0,4238.0,3209.0,South-EastAsia
Grenada,North America,112576.0,24.0,0.0,23.0,1.0,0.0,213.0,0.0,6252.0,55536.0,Americas
New Caledonia,Australia/Oceania,285769.0,22.0,0.0,22.0,0.0,0.0,77.0,0.0,11099.0,38839.0,WesternPacific
Laos,Asia,7285750.0,20.0,0.0,19.0,1.0,0.0,3.0,0.0,29374.0,4032.0,WesternPacific
Dominica,North America,72004.0,18.0,0.0,18.0,0.0,0.0,250.0,0.0,1005.0,13958.0,Americas
Saint Kitts and Nevis,North America,53237.0,17.0,0.0,16.0,1.0,0.0,319.0,0.0,1146.0,21526.0,Americas
Greenland,North America,56780.0,14.0,0.0,14.0,0.0,0.0,247.0,0.0,5977.0,105266.0,Europe
Montserrat,North America,4992.0,13.0,1.0,10.0,2.0,0.0,2604.0,199.0,61.0,12220.0,Americas
Caribbean Netherlands,North America,26247.0,13.0,0.0,7.0,6.0,0.0,495.0,0.0,424.0,16154.0,Americas
Falkland Islands,South America,3489.0,13.0,0.0,13.0,0.0,0.0,3726.0,0.0,1816.0,183610.25,Americas
Vatican City,Europe,801.0,12.0,0.0,12.0,0.0,0.0,9181.375,0.0,12.0,14981.0,Europe
Western Sahara,Africa,598682.0,10.0,1.0,8.0,1.0,0.0,17.0,2.0,10.0,16.0,Africa
